Question,Answer,llama3.1:8b
"A channel has a bit rate of 4 kbps and one-way propagation delay of 20 ms. The channel uses stop and wait protocol. The transmission time of the acknowledgement frame is negligible. To get a channel efficiency of at least 50%, the minimum frame size should be
A) 80 bytes
B) 80 bits
C) 160 bytes
D) 160 bits",D) 160 bits," The correct answer is D) 160 bits.

"
"A sender uses the Stop-and-Wait ARQ protocol for reliable transmission of frames. Frames are of size 1000 bytes and the transmission rate at the sender is 80 Kbps (1Kbps = 1000 bits/second). Size of an acknowledgement is 100 bytes and the transmission rate at the receiver is 8 Kbps. The one-way propagation delay is 100 milliseconds. Assuming no frame is lost, the sender throughput is ________ bytes/second.
A) 2500
B) 2000
C) 1500
D) 500",A) 2500," The correct answer is D) 100000.

"
"In an Ethernet local area network, which one of the following statements is TRUE?
A) A station stops to sense the channel once it starts transmitting a frame.
B) The purpose of the jamming signal is to pad the frames that are smaller than the minimum frame size.
C) A station continues to transmit the packet even after the collision is detected.
D) The exponential backoff mechanism reduces the probability of collision on retransmissions.",D) The exponential backoff mechanism reduces the probability of collision on retransmissions.," The correct answer is D.

"
"The minimum frame size required for a CSMA/CD based computer network running at 1 Gbps on a 200m cable with a link speed of 2 × 10^8 m/s is
A) 125 bytes
B) 250 bytes
C) 500 bytes
D) None of these",B) 250 bytes," The correct answer is B) 250 bytes.

"
"Which of the following statements is False about the efficiency of the given channel?
A) If we want to send big packets on the channel, then Stop and Wait is a good choice.
B) If length of packet increases, efficiency of channel also increases.
C) Distance between sender and receiver is directly proportional to efficiency of channel.
D) Efficiency might be less if capacity of channel is high.",C) Distance between sender and receiver is directly proportional to efficiency of channel.," The correct answer is B.

"
"Which of the following devices takes data sent from one network device and forwards it to the destination node based on MAC address?
A) Hub
B) Modem
C) Switch
D) Gateway",C) Switch," The correct answer is C) Switch.

"
"The number of bits used for addressing in Gigabit Ethernet is _________.
A) 32 bit
B) 48 bit
C) 64 bit
D) 128 bit",B) 48 bit," The correct answer is B) 48 bit.

"
"Suppose we want to download text documents at the rate of 100 pages per second. Assume that a page consists of an average of 24 lines with 80 characters in each line. What is the required bit rate of the channel?
A) 192 kbps
B) 512 kbps
C) 1.248 Mbps
D) 1.536 Mbps",D) 1.536 Mbps," The correct answer is D) 1.536 Mbps.

"
"One SAN switch has 24 ports. All 24 supports 8 Gbps Fiber Channel technology. What is the aggregate bandwidth of that SAN switch?
A) 96 Gbps
B) 192 Mbps
C) 512 Gbps
D) 192 Gbps",D) 192 Gbps," The correct answer is D) 192 Gbps.

"
"In a fully-connected mesh network with 10 computers, total ______ number of cables are required and ______ number of ports are required for each device.
A) 40,9
B) 45,10
C) 45,9
D) 50,10","C) 45,9"," The correct answer is C) 45.9

"
"In TCP/IP Reference model, the job of ______ layer is to permit hosts to inject packets into any network and travel them independently to the destination.
(1) Physical
(2) Transport
(3) Application
(4) Host-to-network
A) (1)
B) (2) and (3)
C) (3) and (4)
D) (1), (2), (3) and (4)","D) (1), (2), (3) and (4)"," The correct answer is D) (1), (2), (3) and (4).

"
"Which of the following option with reference to UNIX operating system is not correct?
A) INT signal is sent by the terminal driver when one types and it is a request to terminate the current operation.
B) TERM is a request to terminate execution completely. The receiving process will clean up its state and exit.
C) QUIT is similar to TERM, except that it defaults to producing a core dump if not caught.
D) KILL is a blockable signal.",D) KILL is a blockable signal.," The correct answer is B.

"
"In the Ethernet, which field is actually added at the physical layer and is not part of the frame?
A) preamble
B) CRC
C) address
D) location",A) preamble," The correct answer is A) preamble.

"
"What will be the efficiency of a Stop and Wait protocol, if the transmission time for a frame is 20ns and the propagation time is 30ns?
A) 20%
B) 25%
C) 40%
D) 66%",B) 25%," The correct answer is B) 25%

"
"The combination of an IP address and a port number is known as _________.
A) network number
B) socket address
C) subnet mask number
D) MAC address",B) socket address," The correct answer is B) socket address.

"
"An Internet Service Provider(ISP) has the following chunk of CIDR-based IP addresses available with it: 245.248.128.0/20. The ISP wants to give half of this chunk of addresses to Organization A, and a quarter to Organization B, while retaining the remaining with itself. Which of the following is a valid allocation of addresses to A and B?
A) 245.248.128.0/21 and 245.248.128.0/22
B) 245.248.132.0/22 and 245.248.132.0/21
C) 245.248.136.0/21 and 245.248.128.0/22
D) 245.248.136.0/22 and 245.248.132.0/21",C) 245.248.136.0/21 and 245.248.128.0/22," The correct answer is C)

"
"If a class B network on the Internet has a subnet mask of 255.255.248.0, what is the maximum number of hosts per subnet?
A) 1022
B) 1023
C) 2046
D) 2047",C) 2046," The correct answer is C) 2046.

"
"In a classful addressing, the IP addresses with 0 (zero) as network number:
A) refers to the current network
B) refers to broadcast on the local network
C) refers to broadcast on a distant network
D) refers to loopback testing",A) refers to the current network," The correct answer is A) refers to the current network.

"
"Consider the following statements about the functionality of an IP based router.
I. A router does not modify the IP packets during forwarding.
II. It is not necessary for a router to implement any routing protocol.
III. A router should reassemble IP fragments if the MTU of the outgoing link is larger than the size of the incoming IP packet.
Which of the above statements is/are TRUE?
A) I and II only
B) I only
C) II and III only
D) II only",D) II only," The correct answer is D.

"
"An organization requires a range of IP address to assign one to each of its 1500 computers. The organization has approached an Internet Service Provider (ISP) for this task. The ISP uses CIDR and serves the requests from the available IP address space 202.61.0.0/17. The ISP wants to assign an address space to the organization which will minimize the number of routing entries in the ISP’s router using route aggregation. Which of the following address spaces are potential candidates from which the ISP can allot any one of the organization?
I. 202.61.84.0 / 21
II. 202.61.104.0 / 21
III. 202.61.64.0 / 21
IV. 202.61.144.0 / 21
A) I and II only
B) II and III only
C) III and IV only
D) I and IV only",B) II and III only," The correct answer is B.

"
"What percentage(%) of the IPv4, IP address space do all class C addresses consume?
A) 12.5%
B) 25%
C) 37.5%
D) 50%",A) 12.5%," The correct answer is B) 13%.

"
"Consider different activities related to email:
m1: Send an email from a mail client to a mail server
m2: Download an email from mailbox server to a mail client
m3: Checking email in a web browser
Which is the application level protocol used in each activity?
A) m1: HTTP m2: SMTP m3: POP
B) m1: SMTP m2: FTP m3: HTTP
C) m1: SMTP m2: POP m3: HTTP
D) m1: POP m2: SMTP m3: IMAP",C) m1: SMTP m2: POP m3: HTTP," The correct answer is B.

"
"Identify the correct order in which the following actions take place in an interaction between a web browser and a web server.

The web browser requests a webpage using HTTP.
The web browser establishes a TCP connection with the web server.
The web server sends the requested webpage using HTTP.
The web browser resolves the domain name using DNS.
A) 1,2,3,4
B) 4,1,2,3
C) 4,2,1,3
D) 2,4,1,3","C) 4,2,1,3"," The correct answer is C.

"
"A graphical HTML browser resident at a network client machine Q accesses a static HTML webpage from a HTTP server S. The static HTML page has exactly one static embedded image which is also at S. Assuming no caching, which one of the following is correct about the HTML webpage loading (including the embedded image)?
A) Q needs to send at least 2 HTTP requests to S, each necessarily in a separate TCP connection to server S
B) Q needs to send at least 2 HTTP requests to S, but a single TCP connection to server S is sufficient
C) A single HTTP request from Q to S is sufficient, and a single TCP connection between Q and S is necessary for this
D) A single HTTP request from Q to S is sufficient, and this is possible without any TCP connection between Q and S","B) Q needs to send at least 2 HTTP requests to S, but a single TCP connection to server S is sufficient"," The correct answer is B) Q needs to send at least 2 HTTP requests to S, but a single TCP connection to server S is sufficient.

"
"In one of the pairs of protocols given below, both the protocols can use multiple TCP connections between the same client and the server. Which one is that?
A) HTTP, FTP
B) HTTP, TELNET
C) FTP, SMTP
D) HTTP, SMTP","A) HTTP, FTP"," The correct answer is A) HTTP, FTP.

"
"Which one of the following statements is NOT correct about HTTP cookies?
A) A cookie is a piece of code that has the potential to compromise the security of an Internet user
B) A cookie gains entry to the user’s work area through an HTTP header
C) A cookie has an expiry date and time
D) Cookies can be used to track the browsing pattern of a user at a particular site",A) A cookie is a piece of code that has the potential to compromise the security of an Internet user," The correct answer is B.

"
"An application layer is an abstraction layer that specifies the shared communications protocols and interface methods used by hosts in a communications network. Consider the following statements regarding various application layer protocols:
(S1): BOOTP is a Host initialization protocol which is implemented using the Transmission Control Protocol (TCP) as transport protocol.
(S2): Domain Name System (DNS) is Networking support protocol which uses User Data Protocol (UDP) as transport protocol.
(S3): Simple Network Management Protocol (SNMP) is a Remote host management protocol which uses Transmission Control Protocol (TCP) as transport protocol.
Which of the following option is True?
A) Only (S1) and (S2) are not correct.
B) Only (S1) and (S3) are not correct.
C) Only (S2) and (S3) are not correct.
D) All statements (S1), (S2), and (S3) are correct.",B) Only (S1) and (S3) are not correct.," The correct answer is B.

"
"A web client sends a request to a web server. The web server transmits a program to that client and is executed at client. It creates a web document. What are such web documents called?
A) Active
B) Static
C) Dynamic
D) Passive",A) Active," The correct answer is A) Active.

"
"A packet filtering firewall can
A) deny certain users from accessing a service
B) block worms and viruses from entering the network
C) disallow some files from being accessed through FTP
D) block some hosts from accessing the network",D) block some hosts from accessing the network," The correct answer is D) block some hosts from accessing the network.

"
"The protocol data unit (PDU) for the application layer in the Internet stack is
A) Segment
B) Datagram
C) Message
D) Frame",C) Message," The correct answer is C) Message.

"
"HTML (Hypertext Markup Language) has language elements which permit certain actions other than describing the structure of the web document. Which one of the following actions is NOT supported by pure HTML (without any server or client side scripting) pages?
A) Embed web objects from different sites into the same page
B) Refresh the page automatically after a specified interval
C) Automatically redirect to another page upon download
D) Display the client time as part of the page",D) Display the client time as part of the page," The correct answer is C) Use JavaScript to get the current date and time.

"
"In XML, DOCTYPE declaration specifies to include a reference to ________ file.
A) Document type Definition
B) Document type declaration
C) Document transfer definition
D) Document type language",A) Document type Definition," The correct answer is D) XML.

"
"Cloaking is a search engine optimization (SEO) technique. During cloaking
A) Content presented to search engine spider is different from that presented to user's browser
B) Content present to search engine spider and browser is same
C) Contents of user's requested website are changed
D) None of the above",A) Content presented to search engine spider is different from that presented to user's browser," The correct answer is A) Content presented to search engine spider is different from that presented to user's browser.

"
"The total number of keys required for a set of n individuals to be able to communicate with each other using secret key and public key crypto-systems, respectively are:
A) n(n-1) and 2n
B) 2n and ((n(n - 1))/2)
C) ((n(n - 1))/2) and 2n
D) ((n(n - 1))/2) and n",C) ((n(n - 1))/2) and 2n," The correct answer is B.

"
"S1- MD5 is vulnerable to the Birthday attack.
S2- traceroute uses the ""Destination port unreachable"" ICMP error message.
S3- 3DES is a type of Public Key Encryption Algorithm.
S4- IPv6 has a 40-byte fixed header size (without Options fields).
How many of the above statements are true?
A) 2
B) 3
C) 4
D) None of these",B) 3," The correct answer is B) 3.

"
"Pretty Good Privacy (PGP) is used in
A) Browser security
B) FTP security
C) Email security
D) None of the above",C) Email security," The correct answer is C) Email security.

"
"Using p = 3, q = 13, d = 7 and e = 3 in the RSA algorithm, what is the value of ciphertext for a plain text 5?
A) 8
B) 16
C) 26
D) 33",A) 8," The correct answer is 8.

"
"A packet whose destination is outside the local TCP/IP network segment is sent to _____.
A) File server
B) DNS server
C) DHCP server
D) Default gateway",D) Default gateway," The correct answer is D) Default gateway.

"
"Distance vector routing algorithm is a dynamic routing algorithm. The routing tables in distance vector routing algorithm are updated _____.
A) automatically
B) by server
C) by exchanging information with neighbour nodes
D) with back up database",C) by exchanging information with neighbour nodes," The correct answer is C.

"
"In 3G network, W-CDMA is also known as UMTS. The minimum spectrum allocation required for W-CDMA is _____.
A) 2 MHz
B) 20 KHz
C) 5 KHz
D) 5 MHz",D) 5 MHz," The correct answer is D) 5 MHz.

"
"Which of the following is a public IP address?
A) 10.15.14.12
B) 192.168.52.62
C) 172.32.1.1
D) None of the Above",C) 172.32.1.1," The correct answer is C) 172.32.1.1

"
