Question,Answer,Baichuan-local
"What characterizes wireless links that differentiate them from wired links?
A) Wireless links have a lower bit error rate than wired links.
B) Wireless links function similarly to wired links, offering the same level of reliability and performance.
C) Wireless links face certain challenges like fading, multipath, and hidden terminals.
D) Wireless links do not have bandwidth limitations.","C) Wireless links face certain challenges like fading, multipath, and hidden terminals.","The correct answer is C) Wireless links face certain challenges like fading, multipath, and hidden terminals.

"
"In multicontext mode, which of the following functions are disabled on an ASA appliance?
A) Interface and security rules application
B) SNMP monitoring and logging
C) Failover and subinterface allocation
D) VPN and multicast routing",D) VPN and multicast routing,"The correct answer is: 'The correct answer is A. Interface and security rules application are disabled in multicontext mode.'

"
"What are the maximum number of active stations that can be part of a Bluetooth piconet?
A) 12
B) 10
C) 5
D) 8",D) 8,"The correct answer is A) 12.

"
"What role does the SeqHdr play in an MPEG-2 video stream?
A) It encrypts the video stream.
B) It determines the type of compression used.
C) It sets the overall frame rate for the video stream.
D) It specifies information such as picture size and quantization matrices for a GOP.",D) It specifies information such as picture size and quantization matrices for a GOP.,"The correct answer is D) It specifies information such as picture size and quantization matrices for a GOP.

"
"Which component is responsible for real-time scheduling decisions in the RAN packet processing pipeline?
A) PDCP
B) PHY
C) MAC
D) RRC",C) MAC,"The correct answer is: A) PDCP

"
"Which TCP congestion control extension was designed to handle the multiple-packet-loss problem by including fast recovery?
A) TCP Tahoe
B) TCP NewReno
C) TCP Reno
D) TCP SACK",C) TCP Reno,"The correct answer is B) TCP NewReno.

"
"In CDMA systems, how is multiple access capability achieved?
A) By assigning each wireless terminal a unique spreading sequence
B) By giving every user a different time slot to transmit data
C) By assigning each wireless terminal a unique carrier frequency
D) By ensuring each wireless terminal operates on a different network",A) By assigning each wireless terminal a unique spreading sequence,"The correct answer is A): By assigning each wireless terminal a unique spreading sequence.

"
"Which routing protocol is typically used for exchanging routing information between different autonomous systems?
A) OSPF
B) BGP
C) RIP
D) EIGRP",B) BGP,"The correct answer is: 'The correct answer is B. BGP (Border Gateway Protocol) is typically used for exchanging routing information between different autonomous systems.'

"
"What is the purpose of Web Services in networked applications?
A) To provide voice interaction features for websites
B) To support business processes through complex interactions
C) To increase the processing power of individual devices
D) To serve as reusable services to support the requirements of software users.",D) To serve as reusable services to support the requirements of software users.,"The correct answer is: B) To support business processes through complex interactions

"
"Which congestion control protocol began to be used by Google in 2016 for all TCP traffic on its private B4 network?
A) CUBIC
B) TCP Reno
C) BBR (Bottleneck Bandwidth and Round-trip propagation time)
D) TCP Vegas",C) BBR (Bottleneck Bandwidth and Round-trip propagation time),"The correct answer is A) CUBIC.

"
"What is one of the reasons the IntServ model is unsuitable for the internet core?
A) It doesn't support unicast.
B) It does not offer end-to-end QoS guarantees.
C) It requires each router to maintain state information of every passing flow and support resource reservation, creating huge storage and processing overheads.
D) It is incapable of providing broadcast services.","C) It requires each router to maintain state information of every passing flow and support resource reservation, creating huge storage and processing overheads.","The correct answer is: C) It requires each router to maintain state information of every passing flow and support resource reservation, creating huge storage and processing overheads.

"
"What is a major advantage of using Virtualized Network Functions (VNFs) in a data center environment?
A) VNFs require no physical infrastructure.
B) VNFs eliminate all network bottlenecks.
C) VNFs ensure data security by default.
D) VNFs provide flexibility in deploying network functions as needed.",D) VNFs provide flexibility in deploying network functions as needed.,"The correct answer is: D) VNFs provide flexibility in deploying network functions as needed.

"
